Wl	R
1594	0.986
1595	0.986
1596	0.986
1597	0.986
1598	0.986
1599	0.986
1600	0.986
1601	0.986
1602	0.986
1603	0.986
1604	0.986
1605	0.986
1606	0.986
1607	0.986
1608	0.986
1609	0.986
1610	0.986
1611	0.986
1612	0.986
1613	0.986
1614	0.986
1615	0.986
1616	0.986
1617	0.986
1618	0.986
1619	0.986
1620	0.986
1621	0.986
1622	0.986
1623	0.986
1624	0.986
1625	0.986
1626	0.985
1627	0.985
1628	0.985
1629	0.985
1630	0.985
1631	0.985
1632	0.985
1633	0.985
1634	0.985
1635	0.985
1636	0.985
1637	0.985
1638	0.985
1639	0.985
1640	0.985
1641	0.985
1642	0.985
1643	0.985
1644	0.985
1645	0.985
1646	0.985
1647	0.985
1648	0.985
1649	0.985
1650	0.985
1651	0.985
1652	0.985
1653	0.985
1654	0.985
1655	0.985
1656	0.985
1657	0.985
1658	0.985
1659	0.985
1660	0.985
1661	0.985
1662	0.985
1663	0.985
1664	0.985
1665	0.985
1666	0.985
1667	0.985
1668	0.985
1669	0.985
1670	0.985
1671	0.985
1672	0.985
1673	0.985
1674	0.985
1675	0.985
1676	0.984
1677	0.984
1678	0.984
1679	0.984
1680	0.984
1681	0.984
1682	0.984
1683	0.984
1684	0.984
1685	0.984
1686	0.984
1687	0.984
1688	0.984
1689	0.984
1690	0.984
1691	0.984
1692	0.984
1693	0.984
1694	0.984
1695	0.984
1696	0.984
1697	0.984
1698	0.984
1699	0.984
1700	0.984
1701	0.984
1702	0.984
1703	0.984
1704	0.984
1705	0.984
1706	0.984
1707	0.984
1708	0.984
1709	0.984
1710	0.983
1711	0.984
1712	0.984
1713	0.984
1714	0.984
1715	0.984
1716	0.984
1717	0.984
1718	0.984
1719	0.984
1720	0.984
1721	0.984
1722	0.984
1723	0.984
1724	0.984
1725	0.984
1726	0.984
1727	0.984
1728	0.984
1729	0.984
1730	0.984
1731	0.984
1732	0.984
1733	0.984
1734	0.984
1735	0.984
1736	0.984
1737	0.984
1738	0.984
1739	0.984
1740	0.984
1741	0.984
1742	0.984
1743	0.984
1744	0.984
1745	0.984
1746	0.983
1747	0.984
1748	0.984
1749	0.984
1750	0.984
1751	0.984
1752	0.984
1753	0.984
1754	0.984
1755	0.984
1756	0.984
1757	0.984
1758	0.984
1759	0.984
1760	0.984
